Date,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,Day.Sum
04/16/2013,0,456,56,88,114,46,36,0,0,0,118,914
04/17/2013,0,0,0,0,0,0,0,0,2,0,2,4
04/18/2013,0,2,0,0,0,0,0,0,0,0,2,4
04/19/2013,2,0,0,0,0,0,0,0,0,0,2,4
04/20/2013,0,0,0,0,0,0,0,0,0,0,0,0
04/21/2013,0,0,0,0,0,0,0,0,0,0,0,0
04/22/2013,0,0,0,0,0,0,0,0,0,0,0,0
04/23/2013,0,20,0,0,0,0,0,0,0,0,0,20
04/24/2013,0,784,98,60,96,90,184,0,0,0,270,1582
04/25/2013,0,990,84,94,210,262,184,0,0,0,160,1984
04/26/2013,0,230,2,92,32,26,20,0,0,0,60,462
04/27/2013,0,0,0,0,0,0,0,0,0,0,0,0
04/28/2013,0,0,0,0,0,0,0,0,0,0,0,0
04/29/2013,0,0,0,0,0,0,0,0,0,0,0,0
04/30/2013,0,0,0,0,0,0,0,0,0,0,0,0
05/01/2013,0,4,0,2,0,0,0,0,0,0,2,8
05/02/2013,0,0,0,0,0,0,0,0,0,0,0,0
05/03/2013,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2013,0,0,0,0,0,0,0,0,0,0,0,0
05/05/2013,0,0,0,0,0,0,0,0,0,0,0,0
05/06/2013,0,0,0,0,0,0,0,0,0,0,0,0
05/07/2013,0,0,0,0,0,0,0,0,0,0,0,0
05/08/2013,0,0,0,0,0,0,0,0,0,0,0,0
05/09/2013,0,0,0,0,0,0,0,0,0,0,0,0
05/10/2013,0,0,0,0,0,0,0,0,0,0,0,0
05/11/2013,0,0,0,0,0,0,0,0,0,0,0,0
05/12/2013,2,0,0,0,0,0,0,0,0,0,2,4
05/13/2013,0,0,0,0,0,0,0,0,0,0,0,0
05/14/2013,0,0,0,0,0,0,0,0,0,0,0,0
05/15/2013,0,0,0,0,0,0,0,0,0,0,0,0
05/16/2013,0,0,0,0,0,0,0,0,0,0,0,0
05/17/2013,0,2,0,0,0,0,0,0,0,0,2,4
05/18/2013,0,0,0,0,0,0,0,0,0,0,0,0
05/19/2013,0,0,0,0,0,0,0,0,0,0,0,0
05/20/2013,0,0,0,0,0,0,0,0,0,0,0,0
05/21/2013,0,0,0,0,0,0,0,0,0,0,0,0
05/22/2013,0,0,0,0,0,0,0,0,0,0,0,0
05/23/2013,0,0,0,0,0,0,0,0,0,0,0,0
05/24/2013,0,0,0,0,0,0,0,0,0,0,0,0
05/25/2013,0,0,0,0,0,0,0,0,0,0,0,0
05/26/2013,0,0,0,0,0,0,0,0,0,0,0,0
05/27/2013,0,0,0,0,0,0,0,0,0,0,0,0
05/28/2013,0,0,0,0,0,0,0,0,0,0,0,0
05/29/2013,0,0,0,0,0,0,0,0,0,0,0,0
05/30/2013,0,0,0,0,0,0,0,0,0,0,0,0
05/31/2013,0,0,0,0,0,0,0,0,0,0,0,0
06/01/2013,2,0,0,0,0,0,0,0,0,0,2,4
06/02/2013,0,0,0,0,0,0,0,0,0,0,0,0
06/03/2013,0,0,0,0,0,0,0,0,0,0,0,0
06/04/2013,0,0,0,0,0,0,0,0,0,0,0,0
06/05/2013,0,0,0,0,0,0,0,0,0,0,0,0
06/06/2013,0,0,0,0,0,0,0,0,0,0,0,0
06/07/2013,0,4,0,2,0,0,0,0,0,0,2,8
06/08/2013,0,0,0,0,0,0,0,0,0,0,0,0
06/09/2013,0,0,0,0,0,0,0,0,0,0,0,0
06/10/2013,0,0,0,0,0,0,0,0,0,0,0,0
06/11/2013,0,0,0,0,0,0,0,0,0,0,0,0
06/12/2013,0,0,0,0,0,0,0,0,0,0,0,0
06/13/2013,0,0,0,0,0,0,0,0,0,0,0,0
06/14/2013,0,0,0,0,0,0,0,0,0,0,0,0
06/15/2013,0,0,0,0,0,0,0,0,0,0,0,0
06/16/2013,0,0,0,0,0,0,0,0,0,0,0,0
06/17/2013,0,0,0,0,0,0,0,0,0,0,0,0
06/18/2013,0,0,0,0,0,0,0,0,0,0,0,0
06/19/2013,0,0,0,0,0,0,0,0,0,0,0,0
06/20/2013,0,0,0,0,0,0,0,0,0,0,0,0
06/21/2013,0,0,0,0,0,0,0,0,0,0,0,0
06/22/2013,0,4,0,2,0,0,0,0,0,0,2,8
06/23/2013,0,0,0,0,0,0,0,0,0,0,0,0
06/24/2013,0,0,0,0,0,0,0,0,0,0,0,0
06/25/2013,2,0,0,0,0,0,0,0,0,0,2,4
06/26/2013,0,0,0,0,0,0,0,0,0,0,0,0
06/27/2013,0,0,0,0,0,0,0,0,0,0,0,0
06/28/2013,0,0,0,0,0,0,0,0,0,0,0,0
06/29/2013,0,0,0,0,0,0,0,0,0,0,0,0
06/30/2013,0,0,0,0,0,0,0,0,0,0,0,0
07/01/2013,0,0,0,0,0,0,0,0,0,0,0,0
07/02/2013,0,0,0,0,0,0,0,0,0,0,0,0
07/03/2013,0,0,0,0,0,0,0,0,0,0,0,0
07/04/2013,0,0,0,0,0,0,0,0,0,0,0,0
07/05/2013,0,0,0,0,0,0,0,0,0,0,0,0
07/06/2013,0,2,0,0,0,0,0,0,0,0,2,4
07/07/2013,0,0,0,0,0,0,0,0,0,0,0,0
07/08/2013,0,0,0,0,0,0,0,0,0,0,0,0
07/09/2013,0,0,0,0,0,0,0,0,0,0,0,0
07/10/2013,0,0,0,0,0,0,0,0,0,0,0,0
07/11/2013,2,0,0,0,0,0,0,0,0,0,2,4
07/12/2013,0,0,0,0,0,0,0,0,0,0,0,0
07/13/2013,0,0,0,0,0,0,0,0,0,0,0,0
07/14/2013,0,0,0,0,0,0,0,0,0,0,0,0
07/15/2013,0,0,0,0,0,0,0,0,0,0,0,0
07/16/2013,0,0,0,0,0,0,0,0,0,0,0,0
07/17/2013,0,0,0,0,0,0,0,0,0,0,0,0
07/18/2013,0,0,0,0,0,0,0,0,0,0,0,0
07/19/2013,0,0,0,6,2,2,0,0,0,0,2,12
07/20/2013,0,0,0,0,0,2,0,0,0,0,2,4
07/21/2013,0,0,0,4,4,12,0,0,0,0,4,24
07/22/2013,0,0,0,2,0,10,0,0,0,0,8,20
07/23/2013,0,0,0,2,0,8,0,0,0,0,6,16
07/24/2013,0,0,0,2,0,10,0,0,0,0,8,20
07/25/2013,0,0,0,2,2,6,0,0,0,0,2,12
07/26/2013,0,0,0,2,0,4,0,0,0,0,2,8
07/27/2013,4,0,0,2,0,4,0,0,0,0,6,16
07/28/2013,86,0,4,10,8,32,2,0,0,0,94,236
07/29/2013,92,2,0,20,2,14,0,0,0,0,88,218
07/30/2013,58,0,0,6,2,0,0,0,0,0,50,116
07/31/2013,72,0,0,10,0,6,0,0,0,0,68,156
08/01/2013,212,0,0,58,6,20,0,0,0,0,162,458
08/02/2013,134,4,2,22,6,12,2,0,0,0,122,304
08/03/2013,44,0,0,2,0,4,0,0,0,0,46,96
08/04/2013,78,0,0,10,2,4,2,0,0,0,64,160
08/05/2013,66,0,0,10,0,2,0,0,0,0,58,136
08/06/2013,54,0,0,226,70,24,2,0,28,0,206,610
08/07/2013,148,0,0,266,146,56,14,0,10,0,208,848
08/08/2013,138,8,0,282,150,64,8,0,4,0,206,860
08/09/2013,304,490,202,438,242,108,82,0,42,0,492,2400
08/10/2013,218,0,128,738,180,6,0,0,4,0,640,1914
08/11/2013,252,6,116,566,172,6,0,0,18,0,540,1676
08/12/2013,212,330,86,392,196,136,76,0,6,0,378,1812
08/13/2013,198,478,164,426,200,96,94,0,16,0,424,2096
08/14/2013,214,422,122,496,230,94,78,0,0,0,458,2114
08/15/2013,188,514,50,474,234,190,154,0,54,0,394,2252
08/16/2013,194,596,154,560,240,126,102,0,2,0,500,2474
08/17/2013,346,180,266,662,202,120,84,0,276,0,426,2562
08/18/2013,238,614,102,460,272,190,152,0,4,0,350,2382
08/19/2013,168,454,50,384,210,160,112,0,4,0,310,1852
08/20/2013,190,494,230,756,252,112,80,0,16,0,532,2662
08/21/2013,174,402,232,756,260,56,70,0,10,0,592,2552
08/22/2013,176,520,48,396,240,188,116,0,6,0,342,2032
08/23/2013,154,608,102,452,240,152,122,0,8,0,418,2256
08/24/2013,142,378,74,594,222,110,66,0,10,0,526,2122
08/25/2013,186,614,184,526,260,180,150,0,12,0,412,2524
08/26/2013,136,400,28,360,202,146,86,0,2,0,284,1644
08/27/2013,182,414,130,468,200,86,98,0,16,0,436,2030
08/28/2013,168,574,232,566,220,66,144,0,4,0,480,2454
08/29/2013,172,874,322,536,144,180,276,0,0,0,486,2990
08/30/2013,208,754,198,568,306,192,142,0,2,0,426,2796
08/31/2013,212,280,138,788,236,72,44,0,32,0,594,2396
09/01/2013,272,684,136,494,288,220,190,0,2,0,402,2688
09/02/2013,200,526,14,256,202,168,124,0,0,0,360,1850
09/03/2013,354,688,212,520,260,150,114,0,12,0,562,2872
09/04/2013,322,346,198,580,202,108,98,0,12,0,504,2370
09/05/2013,290,666,64,394,258,200,146,0,0,0,440,2458
09/06/2013,292,706,94,180,232,126,88,0,0,0,300,2018
09/07/2013,238,324,4,84,56,44,10,0,0,0,334,1094
09/08/2013,270,764,84,150,240,174,128,0,0,0,236,2046
09/09/2013,244,540,10,200,154,82,36,0,0,0,272,1538
09/10/2013,256,502,92,114,118,52,40,0,0,0,274,1448
09/11/2013,286,238,48,56,82,42,34,0,0,0,240,1026
09/12/2013,244,36,0,74,22,8,6,0,4,0,182,576
09/13/2013,348,428,106,34,50,62,46,0,118,0,340,1532
09/14/2013,558,432,244,74,38,10,4,0,270,0,134,1764
09/15/2013,174,314,62,40,96,60,56,0,0,0,208,1010
09/16/2013,222,794,52,160,212,178,124,0,0,0,222,1964
09/17/2013,282,476,86,70,148,80,46,0,0,0,278,1466
09/18/2013,292,336,72,50,64,84,66,0,6,0,308,1278
09/19/2013,288,528,66,134,132,70,54,0,0,0,290,1562
09/20/2013,300,584,72,170,142,80,68,0,0,0,300,1716
09/21/2013,322,968,282,64,266,44,52,0,0,0,516,2514
09/22/2013,190,668,22,214,200,132,76,0,0,0,192,1694
09/23/2013,292,610,34,192,156,110,96,0,0,0,252,1742
09/24/2013,264,516,118,84,142,52,36,0,0,0,296,1508
09/25/2013,290,608,60,174,130,84,58,0,0,0,342,1746
09/26/2013,148,344,6,116,82,44,20,0,0,0,192,952
09/27/2013,6,314,32,48,46,22,36,0,0,0,136,640
09/28/2013,2,382,72,44,92,12,14,0,0,0,150,768
09/29/2013,0,370,66,76,58,22,22,0,0,0,120,734
09/30/2013,14,750,70,2,50,304,204,0,0,0,144,1538
10/01/2013,32,474,64,84,98,36,22,0,0,0,196,1006
10/02/2013,6,350,0,76,58,32,6,0,0,0,190,718
10/03/2013,22,302,2,78,56,32,10,0,0,0,144,646
10/04/2013,16,398,52,52,54,28,32,0,0,0,196,828
10/05/2013,34,294,58,44,80,12,12,0,0,0,114,648
10/06/2013,14,416,8,124,122,56,26,0,0,0,92,858
10/07/2013,18,262,6,66,54,16,2,0,0,0,132,556
10/08/2013,14,344,56,40,86,18,32,0,0,0,124,714
10/09/2013,38,240,0,82,62,14,8,0,0,0,108,552
10/10/2013,18,396,20,72,82,96,22,0,0,0,196,902
10/11/2013,12,448,64,70,68,56,30,0,0,0,176,924
10/12/2013,90,400,52,84,90,30,22,0,0,0,202,970
10/13/2013,10,376,8,114,94,48,26,0,0,0,102,778
10/14/2013,6,252,2,52,56,28,24,0,0,0,92,512
10/15/2013,14,442,82,40,88,32,36,0,0,0,166,900
10/16/2013,10,340,42,66,80,24,14,0,0,0,142,718
10/17/2013,6,282,0,68,52,30,8,0,0,0,128,574
10/18/2013,6,378,50,54,52,32,36,0,0,0,160,768
10/19/2013,234,402,86,84,70,34,20,0,0,0,300,1230
10/20/2013,2,406,14,102,118,54,26,0,0,0,94,816
10/21/2013,4,234,4,50,54,30,8,0,0,0,92,476
10/22/2013,20,400,80,30,70,16,44,0,0,0,156,816
10/23/2013,28,236,10,66,44,36,12,0,0,0,112,544
10/24/2013,40,196,0,60,44,28,16,0,0,0,84,468
10/25/2013,6,232,30,30,54,20,16,0,0,0,88,476
10/26/2013,54,260,46,24,60,26,26,0,0,0,122,618
10/27/2013,8,564,140,0,170,108,16,0,0,0,134,1140
10/28/2013,26,496,16,92,88,98,76,0,0,0,156,1048
10/29/2013,56,376,82,46,102,22,36,0,0,0,138,858
10/30/2013,4,168,0,44,40,22,8,0,0,0,60,346
10/31/2013,12,260,2,56,48,42,18,0,0,0,102,540
11/01/2013,98,262,36,58,58,32,34,0,0,0,134,712
11/02/2013,138,406,74,48,72,78,36,0,0,0,200,1052
11/03/2013,12,426,2,140,84,30,22,0,0,0,158,874
11/04/2013,16,222,6,50,42,20,10,0,0,0,110,476
11/05/2013,10,354,58,42,52,20,32,0,0,0,148,716
11/06/2013,6,256,2,62,56,40,26,0,0,0,88,536
11/07/2013,20,312,4,82,58,48,20,0,0,0,110,654
11/08/2013,14,380,40,62,58,30,16,0,0,0,182,782
11/09/2013,64,238,48,36,46,16,24,0,0,0,112,584
11/10/2013,4,410,4,138,96,32,26,0,0,0,116,826
11/11/2013,4,208,0,46,38,22,4,0,0,0,102,424
11/12/2013,56,370,56,48,58,22,20,0,0,0,190,820
11/13/2013,12,330,20,70,68,30,14,0,0,0,152,696
11/14/2013,10,356,0,84,42,34,20,0,0,0,186,732
11/15/2013,6,240,56,32,58,22,10,0,0,0,68,492
11/16/2013,250,0,0,18,2,0,0,0,0,0,228,498
11/17/2013,36,0,0,6,0,0,0,0,0,0,32,74
11/18/2013,30,0,0,4,4,2,4,0,0,0,16,60
11/19/2013,36,0,0,14,2,2,0,0,0,0,18,72
11/20/2013,170,0,0,28,4,4,2,0,0,0,132,340
11/21/2013,42,0,0,18,4,0,0,0,0,0,20,84
11/22/2013,18,0,0,2,4,4,0,0,0,0,8,36
11/23/2013,84,0,0,14,4,0,0,0,0,0,66,168
11/24/2013,6,0,0,2,0,0,0,0,0,0,4,12
11/25/2013,30,0,0,4,2,2,0,0,0,0,22,60
11/26/2013,12,0,0,0,0,0,0,0,0,0,12,24
11/27/2013,14,0,0,2,0,0,0,0,0,0,12,28
11/28/2013,12,0,0,4,2,0,0,0,0,0,6,24
11/29/2013,10,0,0,4,0,0,0,0,0,0,6,20
11/30/2013,70,0,0,4,0,0,0,0,0,0,66,140
12/01/2013,56,0,0,4,0,0,0,0,0,0,52,112
12/02/2013,196,0,0,46,22,6,4,0,0,0,118,392
12/03/2013,16,0,0,2,0,0,0,0,0,0,14,32
12/04/2013,8,0,0,2,4,0,0,0,0,0,2,16
12/05/2013,28,0,0,4,6,8,2,0,0,0,8,56
12/06/2013,20,0,0,6,2,0,0,0,0,0,12,40
