Hostname, MemMB, Allocated ,Used    ,Available  ,Utilization
cs10v1    ,      40911, 59.62, 19.16, 39.22,  0.32
cs10v2    ,      81871,2958.84,2274.15,675.98,  0.77
cs10v3    ,      32719, 51.62, 18.86, 31.47,  0.37
cs10v4    ,     100303, 43.00, 17.47, 25.20,  0.41
cs10v5    ,      32719, 51.62, 18.66, 31.66,  0.36
cs1n0v1   ,      32718,560.62,206.71,349.91,  0.37
cs1n0v2   ,      32718, 52.00, 12.66, 38.13,  0.24
cs1n0v3   ,      42958,620.38,335.00,281.94,  0.54
cs1n0v4   ,      32718,1517.41,1298.79,215.90,  0.86
cs1n0v6   ,      32718,325.22,220.96,100.42,  0.68
cs1n1v1   ,      32718, 52.00, 13.26, 37.56,  0.25
cs1n1v2   ,      32718, 52.00, 13.81, 37.02,  0.27
cs1n1v3   ,      32718,699.56,442.71,254.38,  0.63
cs1n1v4   ,      32718, 61.00, 20.78, 39.24,  0.34
cs1n1v5   ,      32718, 52.00, 13.23, 37.59,  0.25
cs1n1v6   ,      32718, 52.00, 16.95, 34.08,  0.33
cs6n0v1   ,       4046, 52.00, 13.46, 37.35,  0.26
cs6n0v2   ,      32718, 52.00, 19.98, 31.21,  0.38
cs6n0v3   ,      42958, 60.00, 20.49, 38.63,  0.34
cs6n0v4   ,      32718, 60.00, 20.25, 38.87,  0.34
cs6n0v5   ,      32718, 60.00, 22.92, 36.23,  0.38
cs6n0v6   ,      32718, 52.00, 13.27, 37.54,  0.26
cs6n1v1   ,       4046, 52.00, 13.34, 37.47,  0.26
cs6n1v2   ,      32718, 52.00, 13.44, 37.37,  0.26
cs6n1v3   ,      32718,450.34,257.53,190.03,  0.57
cs6n1v4   ,      32718,11168.19,8423.25,2722.91,  0.75
cs6n1v5   ,      32718, 60.00, 16.10, 42.69,  0.27
cs7v1     ,       8143, 52.00, 13.70, 37.13,  0.26
cs7v2     ,     241615,9298.84,6233.34,3038.52,  0.67
cs7v3     ,      32718, 52.69, 17.47, 34.26,  0.33
cs7v4     ,      57295, 52.69, 13.42, 38.05,  0.25
cs7v5     ,      32719, 52.69, 14.42, 37.12,  0.27
cs8v1     ,      40911,291.81,155.39,132.11,  0.53
cs8v2     ,      81871,100.62, 22.83, 74.12,  0.23
cs8v3     ,      32719, 51.62, 18.29, 32.02,  0.35
cs8v4     ,     100303,1301.04,1021.37,275.50,  0.79
cs8v5     ,      32718, 51.62, 19.91, 30.42,  0.39
cs9v1     ,       4047, 34.00, 17.07, 16.78,  0.50
cs9v2     ,     240839,186.00, 23.30,153.98,  0.13
cs9v3     ,     240839, 54.61, 20.95, 32.96,  0.38
cs9v4     ,     240839,399.25,249.49,148.33,  0.62
csc03v1   ,      32828, 64.00, 17.29, 45.11,  0.27
csc03v2   ,      30780,100.28, 13.31, 82.74,  0.13
csc03v3   ,      32828,246.28, 60.45,183.08,  0.25
csc03v4   ,      49212,101.28, 11.70, 85.29,  0.12
csc04v1   ,      32826,575.88, 24.47,543.72,  0.04
csc04v2   ,      32828,462.56,225.92,230.59,  0.49
csc05v1   ,      61307,109.19, 31.71, 75.45,  0.29
csc05v10  ,     127867,109.19, 22.54, 84.44,  0.21
csc05v2   ,     122747,141.69, 31.68,106.27,  0.22
csc05v3   ,      81787,109.19, 28.73, 78.56,  0.26
csc05v4   ,      57211,109.19, 30.59, 76.87,  0.28
csc05v5   ,      89979,109.19, 33.31, 74.17,  0.31
csc05v6   ,      77691,109.19, 23.58, 83.42,  0.22
csc05v7   ,      56187,105.19, 31.55, 72.17,  0.30
csc05v8   ,     140155,149.69, 29.99,115.44,  0.20
csc05v9   ,      57211,109.19, 25.00, 82.00,  0.23
csc06v1   ,      61307,7859.50,6894.91,955.07,  0.88
csc06v10  ,     127867,1557.34,908.92,640.09,  0.58
csc06v2   ,     122747,7021.44,5219.22,1784.83,  0.74
csc06v3   ,      81787,4753.84,3283.30,1456.32,  0.69
csc06v4   ,      57211,13986.16,12751.20,1223.79,  0.91
csc06v5   ,      89979,2995.47,1951.18,1034.17,  0.65
csc06v6   ,      77691,1928.78,1029.95,890.20,  0.53
csc06v7   ,      56187,3496.75,2358.68,1127.88,  0.67
csc06v8   ,     140155,9143.00,8170.52,961.05,  0.89
csc06v9   ,      57211,109.19, 17.55, 89.47,  0.16
dt3v5     ,      42958, 57.00, 12.96, 42.51,  0.23
dt5v4     ,      40910, 40.03, 12.78, 26.78,  0.32
dt5v5     ,      40910, 40.03, 12.77, 26.79,  0.32
pdb1n1v1  ,      32764,247.50, 69.98,174.65,  0.28
pdb1n1v2  ,      49148,458.50,107.31,346.74,  0.23
pdb1n1v3  ,      32764,632.75, 63.38,560.86,  0.10
pdb1n1v4  ,      32764,228.00, 65.60,159.24,  0.29
pdb1n1v5  ,      32828, 52.03, 13.49, 37.14,  0.26
