Date,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,Day.Sum
3/17/2014,0,0,0,0,0,0,0,0,0,0,0,0
3/18/2014,8,144,30,0,26,6,4,40,26,4,0,288
3/19/2014,0,0,0,0,0,0,0,0,0,0,0,0
3/20/2014,0,0,0,0,0,0,0,0,0,0,0,0
3/21/2014,6,170,40,0,28,6,4,48,28,10,0,340
3/22/2014,0,64,50,0,0,0,0,0,14,0,0,128
3/23/2014,4,74,26,0,4,0,0,0,48,0,0,156
3/24/2014,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2014,8,144,28,0,22,6,4,42,26,8,0,288
3/26/2014,0,6,2,0,2,0,0,0,2,0,0,12
3/27/2014,0,0,0,0,0,0,0,0,0,0,0,0
3/28/2014,6,144,40,0,20,6,6,38,20,8,0,288
3/29/2014,0,0,0,0,0,0,0,0,0,0,0,0
3/30/2014,2,0,2,0,0,0,0,0,0,0,0,4
3/31/2014,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2014,4,152,30,0,28,6,4,48,24,8,0,304
4/2/2014,0,2,2,0,0,0,0,0,0,0,0,4
4/3/2014,0,0,0,0,0,0,0,0,0,0,0,0
4/4/2014,6,52,14,0,8,0,0,10,12,2,0,104
4/5/2014,6,74,22,0,12,4,2,28,4,2,0,154
4/6/2014,0,0,0,0,0,0,0,0,0,0,0,0
4/7/2014,0,4,2,0,0,0,0,0,2,0,0,8
4/8/2014,8,118,28,2,16,10,4,34,14,6,0,240
4/9/2014,0,0,0,0,0,0,0,0,0,0,0,0
4/10/2014,0,2,2,0,0,0,0,0,0,0,0,4
4/11/2014,6,44,8,0,8,0,0,10,10,2,0,88
4/12/2014,6,74,20,0,10,8,2,28,6,2,0,156
4/13/2014,0,6,4,0,0,0,0,0,2,0,0,12
4/14/2014,4,2,4,0,0,0,0,0,2,0,0,12
4/15/2014,6,94,18,0,18,6,4,28,10,4,0,188
4/16/2014,0,0,0,0,0,0,0,0,0,0,0,0
