Hostname, MemMB, Allocated ,Used    ,Available  ,Utilization
cs10v1    ,      40911, 59.62, 19.21, 39.16,  0.32
cs10v2    ,      81871,2958.84,2274.28,675.87,  0.77
cs10v3    ,      32719, 51.62, 19.41, 30.92,  0.38
cs10v4    ,     100303, 43.00, 17.71, 24.98,  0.41
cs10v5    ,      32719, 51.62, 19.11, 31.21,  0.37
cs1n0v1   ,      32718,560.62,206.73,349.90,  0.37
cs1n0v2   ,      32718, 52.00, 12.67, 38.11,  0.24
cs1n0v3   ,      42958,620.38,335.33,281.61,  0.54
cs1n0v4   ,      32718,1517.41,1327.27,187.64,  0.87
cs1n0v6   ,      32718,325.22,223.57, 97.87,  0.69
cs1n1v1   ,      32718, 52.00, 13.27, 37.54,  0.26
cs1n1v2   ,      32718, 52.00, 13.79, 37.04,  0.27
cs1n1v3   ,      32718,699.56,444.91,252.19,  0.64
cs1n1v4   ,      32718, 61.00, 20.92, 39.11,  0.34
cs1n1v5   ,      32718, 52.00, 13.22, 37.60,  0.25
cs1n1v6   ,      32718, 52.00, 17.06, 33.97,  0.33
cs6n0v1   ,       4046, 52.00, 13.66, 37.16,  0.26
cs6n0v2   ,      32718, 52.00, 19.97, 31.22,  0.38
cs6n0v3   ,      42958, 60.00, 21.16, 37.96,  0.35
cs6n0v4   ,      32718, 60.00, 20.36, 38.76,  0.34
cs6n0v5   ,      32718, 60.00, 22.90, 36.25,  0.38
cs6n0v6   ,      32718, 52.00, 19.80, 31.42,  0.38
cs6n1v1   ,       4046, 52.00, 13.36, 37.45,  0.26
cs6n1v2   ,      32718, 52.00, 13.41, 37.40,  0.26
cs6n1v3   ,      32718,450.34, 83.77,362.43,  0.19
cs6n1v4   ,      32718,11202.22,8417.96,2761.61,  0.75
cs6n1v5   ,      32718, 60.00, 16.07, 42.71,  0.27
cs7v1     ,       8143, 52.00, 13.73, 37.10,  0.26
cs7v2     ,     241615,9298.84,6216.37,3054.53,  0.67
cs7v3     ,      32718, 52.69, 17.46, 34.26,  0.33
cs7v4     ,      57295, 52.69, 13.45, 38.02,  0.26
cs7v5     ,      32719, 52.69, 14.40, 37.14,  0.27
cs8v1     ,      40911,291.81,157.75,129.77,  0.54
cs8v2     ,      81871,100.62, 23.12, 73.85,  0.23
cs8v3     ,      32719, 51.62, 18.87, 31.45,  0.37
cs8v4     ,     100303,1301.04,1024.83,272.09,  0.79
cs8v5     ,      32718, 51.62, 20.45, 29.88,  0.40
cs9v1     ,       4047, 34.00, 17.14, 16.71,  0.50
cs9v2     ,     240591,9296.75,6291.82,2973.92,  0.68
cs9v3     ,     240591, 54.61, 20.94, 32.98,  0.38
cs9v4     ,     240591,399.25,248.00,149.81,  0.62
csc03v1   ,      32828,250.28, 49.35,197.83,  0.20
csc03v2   ,      30780,261.28, 64.24,191.44,  0.25
csc03v3   ,      32828,246.28, 61.58,181.97,  0.25
csc03v4   ,      49210,454.53,104.69,343.67,  0.23
csc04v1   ,      32828,585.91,246.32,333.72,  0.42
csc04v2   ,      32828, 56.03, 12.93, 41.63,  0.23
csc04v3   ,      32828,105.28, 19.47, 84.02,  0.18
csc04v4   ,      32828, 56.03, 11.44, 43.12,  0.20
csc04v5   ,      32828, 56.03, 11.43, 43.12,  0.20
csc05v1   ,      61307,109.19, 31.75, 75.40,  0.29
csc05v10  ,     127867,109.19, 22.58, 84.41,  0.21
csc05v2   ,     122747,141.69, 32.18,105.77,  0.23
csc05v3   ,      81787,109.19, 29.29, 78.01,  0.27
csc05v4   ,      57211,109.19, 30.97, 76.50,  0.28
csc05v5   ,      89979,109.19, 33.83, 73.66,  0.31
csc05v6   ,      77691,109.19, 23.63, 83.37,  0.22
csc05v7   ,      56187,105.19, 32.04, 71.69,  0.30
csc05v8   ,     140155,149.69, 30.43,115.00,  0.20
csc05v9   ,      67451,109.19, 25.05, 81.96,  0.23
csc06v1   ,      61307,7859.50,6943.62,906.74,  0.88
csc06v10  ,     127867,1557.34,899.66,648.77,  0.58
csc06v2   ,     122747,7021.44,5237.89,1766.31,  0.75
csc06v3   ,      81787,4753.84,3336.38,1403.66,  0.70
csc06v4   ,      57211,13986.16,12718.70,1256.09,  0.91
csc06v5   ,      89979,2995.47,1995.02,990.67,  0.67
csc06v6   ,      77691,1928.78,1046.82,873.47,  0.54
csc06v7   ,      56187,3496.75,2430.61,1056.51,  0.70
csc06v8   ,     140155,9687.59,8239.99,1432.45,  0.85
csc06v9   ,      67451,109.19, 17.58, 89.44,  0.16
dt3v5     ,      42958, 57.00, 13.03, 42.44,  0.23
dt5v4     ,      40910, 40.03, 12.81, 26.75,  0.32
dt5v5     ,      40910, 40.03, 12.81, 26.75,  0.32
pdb1n1v1  ,      32764,247.50, 70.90,173.74,  0.29
pdb1n1v2  ,      49148,113.25, 24.59, 86.52,  0.22
pdb1n1v3  ,      32764,471.75, 27.54,437.03,  0.06
pdb1n1v4  ,      32764, 60.00, 14.03, 44.51,  0.23
pdb1n1v5  ,      32828, 52.03, 13.51, 37.12,  0.26
