Hostname, MemMB, Allocated ,Used    ,Available  ,Utilization
cs7v4     ,      57295, 52.69, 12.99, 38.47,  0.25
cs7v5     ,      32719, 52.69, 14.01, 37.50,  0.27
cs8v1     ,      40911,291.81,174.49,113.98,  0.60
cs8v2     ,      81871,100.62, 22.67, 74.27,  0.23
cs8v3     ,      32719, 51.62, 17.49, 32.80,  0.34
cs8v4     ,      75727, 72.91, 19.57, 51.09,  0.27
cs8v5     ,      32718, 51.62, 19.12, 31.19,  0.37
cs9v1     ,       4047, 34.00, 17.00, 16.85,  0.50
cs9v2     ,     240839,186.00, 22.94,154.33,  0.12
cs9v3     ,     240839, 54.61, 20.83, 33.08,  0.38
cs9v4     ,     240839,399.25,245.29,152.50,  0.61
csc03v1   ,      32828,575.88,113.77,455.35,  0.20
csc03v2   ,     107578,125.28, 12.69,109.06,  0.10
csc04v1   ,      32826, 60.00, 14.50, 44.10,  0.24
csc04v2   ,      32828,462.56,221.95,234.44,  0.48
csc05v1   ,      57211,7859.50,6673.87,1174.37,  0.85
csc05v1   ,      61307,109.19, 31.76, 75.40,  0.29
csc05v10  ,     127867,1557.34,898.27,650.09,  0.58
csc05v2   ,     122747,7021.44,5164.89,1839.05,  0.74
csc05v3   ,      81787,109.19, 28.63, 78.65,  0.26
csc05v4   ,      57211,13986.16,12638.73,1335.69,  0.90
csc05v5   ,      89979,2723.19,1897.98,817.12,  0.70
csc05v6   ,      77691,1928.78,1003.63,916.74,  0.52
csc05v7   ,      56187,3496.75,2359.83,1127.05,  0.67
csc05v8   ,     140155,149.69, 29.91,115.51,  0.20
csc05v9   ,      57211,109.19, 24.91, 82.09,  0.23
csc06v1   ,      57211,109.19, 23.35, 83.72,  0.21
csc06v1   ,      61307,7859.50,6791.29,1057.88,  0.86
csc06v10  ,     127867,1758.66,993.41,757.73,  0.56
csc06v2   ,     122747,141.69, 31.64,105.98,  0.22
csc06v3   ,      81787,4175.25,3242.08,923.14,  0.78
csc06v4   ,      57211,109.19, 24.70, 82.40,  0.23
csc06v5   ,      89979,109.19, 26.76, 80.35,  0.25
csc06v6   ,      77691,109.19, 24.80, 82.30,  0.23
csc06v7   ,      56187,105.19, 24.91, 78.44,  0.24
csc06v8   ,     140155,9143.00,7908.89,1220.63,  0.87
pdb1n1v1  ,      32764,247.50, 66.00,178.59,  0.27
pdb1n1v2  ,      49148,458.50,106.07,347.97,  0.23
pdb1n1v3  ,      32764,632.75, 62.33,561.85,  0.10
pdb1n1v4  ,      32764,228.00, 68.54,156.27,  0.30
pdb1n1v5  ,      32828, 52.03, 13.41, 37.22,  0.26
