Hostname, MemMB, Allocated ,Used    ,Available  ,Utilization
cs01v1    ,      48955, 68.00, 19.43, 46.73,  0.29
cs01v10   ,      78715, 74.50, 15.77, 55.92,  0.21
cs01v11   ,     159547,110.44, 19.30, 86.60,  0.17
cs01v4    ,      48955, 68.50, 24.36, 42.56,  0.36
cs01v5    ,      76603, 68.50, 21.91, 44.69,  0.32
cs01v6    ,      77627,1753.91,1004.21,742.10,  0.57
cs01v7    ,     135035,101.94, 17.17, 80.29,  0.17
cs01v8    ,     160635, 53.50, 16.50, 35.51,  0.31
cs01v9    ,      40763, 64.50, 18.80, 43.99,  0.29
cs02v1    ,      48955, 68.00, 20.19, 45.95,  0.30
cs02v10   ,     119675, 56.00, 17.09, 37.29,  0.31
cs02v11   ,     159547,110.50, 32.77, 73.93,  0.30
cs02v2    ,     118587, 99.50, 32.19, 64.36,  0.32
cs02v3    ,      79675, 83.50, 22.61, 58.16,  0.27
cs02v4    ,      48955, 68.50, 22.31, 44.31,  0.33
cs02v5    ,      76603, 68.50, 20.24, 46.33,  0.30
cs02v6    ,      53051, 70.50, 24.04, 44.67,  0.34
cs02v7    ,     135035,206.25, 62.91,141.55,  0.31
cs02v8    ,      41851, 61.50, 22.86, 37.49,  0.37
cs02v9    ,      40763, 64.50, 19.91, 42.94,  0.31
cs10v1    ,      40911, 59.62, 18.77, 39.60,  0.31
cs10v2    ,      81871,2958.84,2245.62,704.27,  0.76
cs10v3    ,      32719, 51.62, 18.05, 32.26,  0.35
cs10v4    ,      75727,1271.12,1025.88,243.05,  0.81
cs10v5    ,      32719, 51.62, 17.85, 32.46,  0.35
cs1n0v1   ,      32718,560.62,206.41,350.21,  0.37
cs1n0v2   ,      32718, 52.00, 12.58, 38.20,  0.24
cs1n0v3   ,      42958,620.38,322.08,294.75,  0.52
cs1n0v4   ,      32718,1517.41,1286.53,228.06,  0.85
cs1n0v6   ,      32718,325.22,212.35,108.71,  0.65
cs1n1v1   ,      32718, 52.00, 13.24, 37.58,  0.25
cs1n1v2   ,      32718, 52.00, 13.69, 37.12,  0.26
cs1n1v3   ,      32718,699.56,439.03,257.57,  0.63
cs1n1v4   ,      32718,11169.19,8932.97,2218.07,  0.80
cs1n1v5   ,      32718, 52.00, 13.13, 37.68,  0.25
cs1n1v6   ,      32718, 52.00, 16.97, 34.05,  0.33
cs6n0v1   ,       4046, 52.00, 13.31, 37.50,  0.26
cs6n0v2   ,      32718, 52.00, 19.84, 31.33,  0.38
cs6n0v3   ,      42958, 60.00, 20.51, 38.62,  0.34
cs6n0v4   ,      32718, 60.00, 20.26, 38.86,  0.34
cs6n0v5   ,      32718, 60.00, 22.91, 36.24,  0.38
cs6n0v6   ,      32718, 52.00, 13.17, 37.64,  0.25
cs6n1v1   ,       4046, 52.00, 13.34, 37.47,  0.26
cs6n1v2   ,      32718, 52.00, 13.34, 37.47,  0.26
cs6n1v3   ,      32718,450.34,254.85,192.68,  0.57
cs6n1v4   ,      32718, 60.00, 20.60, 38.53,  0.34
cs6n1v5   ,      32718, 60.00, 16.01, 42.77,  0.27
cs7v1     ,       8143, 52.00, 13.25, 37.56,  0.25
cs7v2     ,     241615,9298.84,6203.63,3067.48,  0.67
cs7v3     ,      32718, 52.69, 17.06, 34.65,  0.32
