Date,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,Day.Sum
02/18/2014,12,12,0,0,0,0,0,0,0,0,0,24
02/19/2014,0,0,0,0,0,0,0,0,0,0,0,0
02/20/2014,0,0,0,0,0,0,0,0,0,0,0,0
02/21/2014,0,0,0,0,0,0,0,0,0,0,0,0
02/22/2014,0,0,0,0,0,0,0,0,0,0,0,0
02/23/2014,0,0,0,0,0,0,0,0,0,0,0,0
02/24/2014,0,0,0,0,0,0,0,0,0,0,0,0
02/25/2014,0,0,0,0,0,0,0,0,0,0,0,0
02/26/2014,0,0,0,0,0,0,0,0,0,0,0,0
02/27/2014,0,0,0,0,0,0,0,0,0,0,0,0
02/28/2014,0,0,0,0,0,0,0,0,0,0,0,0
03/01/2014,0,0,0,0,0,0,0,0,0,0,0,0
03/02/2014,0,0,0,0,0,0,0,0,0,0,0,0
03/03/2014,0,0,0,0,0,0,0,0,0,0,0,0
03/04/2014,0,0,0,0,0,0,0,0,0,0,0,0
03/05/2014,0,0,0,0,0,0,0,0,0,0,0,0
03/06/2014,0,10,32,8,8,0,0,0,0,0,0,58
