Hostname, MemMB, Allocated ,Used    ,Available  ,Utilization
cs02v1    ,      48955, 68.00, 20.08, 46.05,  0.30
cs02v10   ,     119675, 56.00, 17.23, 37.16,  0.31
cs02v11   ,     159547,110.50, 32.81, 73.89,  0.30
cs02v2    ,     118587, 99.50, 32.22, 64.33,  0.32
cs02v3    ,      79675, 83.50, 22.67, 58.11,  0.27
cs02v4    ,      48955, 68.50, 22.28, 44.34,  0.33
cs02v5    ,      76603, 68.50, 20.30, 46.28,  0.30
cs02v6    ,      53051, 70.50, 24.06, 44.65,  0.34
cs02v7    ,     135035,206.25, 67.02,137.48,  0.32
cs02v8    ,      41851, 61.50, 22.84, 37.50,  0.37
cs02v9    ,      40763, 64.50, 19.95, 42.90,  0.31
cs10v1    ,      40911, 59.62, 19.13, 39.24,  0.32
cs10v2    ,      81871,2958.84,2281.72,668.45,  0.77
cs10v3    ,      32719, 51.62, 18.40, 31.91,  0.36
cs10v4    ,      75727,1271.12,1025.33,243.58,  0.81
cs10v5    ,      32719, 51.62, 18.22, 32.09,  0.35
cs1n0v1   ,      32718,560.62,206.40,350.22,  0.37
cs1n0v2   ,      32718, 52.00, 12.60, 38.19,  0.24
cs1n0v3   ,      42958,620.38,329.98,286.91,  0.53
cs1n0v4   ,      32718,1517.41,1298.76,215.93,  0.86
cs1n0v6   ,      32718,325.22,216.45,104.66,  0.67
cs1n1v1   ,      32718, 52.00, 13.25, 37.56,  0.25
cs1n1v2   ,      32718, 52.00, 13.68, 37.14,  0.26
cs1n1v3   ,      32718,699.56,436.36,260.25,  0.62
cs1n1v4   ,      32718, 61.00, 20.77, 39.25,  0.34
cs1n1v5   ,      32718, 52.00, 13.12, 37.70,  0.25
cs1n1v6   ,      32718, 52.00, 16.97, 34.06,  0.33
cs6n0v1   ,       4046, 52.00, 13.32, 37.50,  0.26
cs6n0v2   ,      32718, 52.00, 19.99, 31.20,  0.38
cs6n0v3   ,      42958, 60.00, 20.50, 38.62,  0.34
cs6n0v4   ,      32718, 60.00, 20.25, 38.87,  0.34
cs6n0v5   ,      32718, 60.00, 22.92, 36.23,  0.38
cs6n0v6   ,      32718, 52.00, 13.30, 37.52,  0.26
cs6n1v1   ,       4046, 52.00, 13.35, 37.47,  0.26
cs6n1v2   ,      32718, 52.00, 13.48, 37.34,  0.26
cs6n1v3   ,      32718,450.34,253.56,193.96,  0.56
cs6n1v4   ,      32718,11168.19,9251.99,1900.64,  0.83
cs6n1v5   ,      32718, 60.00, 15.99, 42.78,  0.27
cs7v1     ,       8143, 52.00, 13.44, 37.38,  0.26
cs7v2     ,     241615,9298.84,6268.13,3003.48,  0.67
cs7v3     ,      32718, 52.69, 17.21, 34.51,  0.33
cs7v4     ,      57295, 52.69, 13.21, 38.26,  0.25
cs7v5     ,      32719, 52.69, 14.22, 37.31,  0.27
cs8v1     ,      40911,291.81,155.32,132.16,  0.53
cs8v2     ,      81871,100.62, 22.77, 74.18,  0.23
cs8v3     ,      32719, 51.62, 17.81, 32.49,  0.34
cs8v4     ,      75727, 72.91, 19.72, 50.95,  0.27
cs8v5     ,      32718, 51.62, 19.47, 30.84,  0.38
cs9v1     ,       4047, 34.00, 17.08, 16.77,  0.50
cs9v2     ,     240839,186.00, 22.99,154.28,  0.12
cs9v3     ,     240839, 54.61, 20.89, 33.02,  0.38
cs9v4     ,     240839,399.25,249.43,148.39,  0.62
csc03v1   ,      32826, 60.00, 17.25, 41.40,  0.29
csc03v2   ,      98362,125.28, 12.84,108.92,  0.10
csc04v1   ,      32826,575.88,111.20,457.88,  0.19
csc04v2   ,      32828,462.56,222.76,233.66,  0.48
csc05v1   ,      61307,109.19, 31.72, 75.43,  0.29
csc05v10  ,     127867,1557.34,898.37,649.99,  0.58
csc05v2   ,     122747,7021.44,5290.85,1714.09,  0.75
csc05v3   ,      81787,109.19, 28.77, 78.52,  0.26
csc05v4   ,      57211,13986.16,12704.29,1270.65,  0.91
csc05v5   ,      89979,2723.19,1908.83,806.36,  0.70
csc05v6   ,      77691,1928.78,1024.80,895.73,  0.53
csc05v7   ,      56187,3496.75,2392.26,1094.88,  0.68
csc05v8   ,     140155,149.69, 30.07,115.36,  0.20
csc05v9   ,      57211,109.19, 24.93, 82.07,  0.23
csc06v1   ,      61307,7859.50,6839.62,1009.93,  0.87
csc06v10  ,     127867,1758.66,993.56,757.58,  0.56
csc06v2   ,     122747,141.69, 31.76,105.87,  0.22
csc06v3   ,      81787,4175.25,3297.69,867.96,  0.79
csc06v4   ,      57211,109.19, 24.67, 82.42,  0.23
csc06v5   ,      89979,109.19, 26.89, 80.23,  0.25
csc06v6   ,      77691,109.19, 24.93, 82.18,  0.23
csc06v7   ,      56187,105.19, 25.02, 78.33,  0.24
csc06v8   ,     140155,9143.00,8007.46,1122.82,  0.88
csc06v9   ,      57211,109.19, 17.55, 89.47,  0.16
pdb1n1v1  ,      32764,247.50, 70.08,174.55,  0.28
pdb1n1v2  ,      49148,458.50,106.10,347.94,  0.23
pdb1n1v3  ,      32764,632.75, 62.44,561.74,  0.10
pdb1n1v4  ,      32764,228.00, 65.58,159.25,  0.29
pdb1n1v5  ,      32828, 52.03, 13.46, 37.17,  0.26
