Hostname, MemMB, Allocated ,Used    ,Available  ,Utilization,Model, MachineID, MachineSN
cs10v1    ,      40911,289.81,159.26,126.53,  0.55,rx8640,096be0eb-d341-11e0-bc05-3dc1a665d4da,3UV11300KY
cs10v2    ,      81871,3501.44,2767.89,724.40,  0.79,rx8640,096be0eb-d341-11e0-bc05-3dc1a665d4da,3UV11300KY
cs10v3    ,      32719, 49.62, 17.57, 30.70,  0.35,rx8640,096be0eb-d341-11e0-bc05-3dc1a665d4da,3UV11300KY
cs10v4    ,     100303, 74.25, 17.08, 56.57,  0.23,rx8640,096be0eb-d341-11e0-bc05-3dc1a665d4da,3UV11300KY
cs10v5    ,      32719, 49.62, 17.38, 30.91,  0.35,rx8640,096be0eb-d341-11e0-bc05-3dc1a665d4da,3UV11300KY
cs1n0v1   ,      32718,558.62,206.91,347.73,  0.37,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
cs1n0v2   ,      32718, 50.00, 12.74, 36.06,  0.25,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
cs1n0v3   ,      42958,618.38,374.10,241.16,  0.60,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
cs1n0v4   ,      32718,1515.41,1354.87,158.27,  0.89,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
cs1n0v6   ,      32718,323.22,232.63, 86.85,  0.72,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
cs1n1v1   ,      32718, 50.00, 12.90, 35.92,  0.26,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
cs1n1v2   ,      32718, 50.00, 13.35, 35.48,  0.27,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
cs1n1v3   ,      32718,697.56,446.31,248.82,  0.64,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
cs1n1v4   ,      32718, 59.00, 20.50, 37.53,  0.35,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
cs1n1v5   ,      32718, 50.00, 12.79, 36.04,  0.26,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
cs1n1v6   ,      32718, 50.00, 16.64, 32.40,  0.33,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
cs6n0v1   ,       4046, 50.00, 13.17, 35.66,  0.26,SD32B,8dbc9cb0-1a2a-11db-8e57-ee980140479f,USE4625NA9
cs6n0v2   ,      32718, 50.00, 13.86, 34.98,  0.28,SD32B,8dbc9cb0-1a2a-11db-8e57-ee980140479f,USE4625NA9
cs6n0v3   ,      42958, 58.00, 15.07, 41.72,  0.26,SD32B,8dbc9cb0-1a2a-11db-8e57-ee980140479f,USE4625NA9
cs6n0v4   ,      32718, 58.00, 15.10, 41.69,  0.26,SD32B,8dbc9cb0-1a2a-11db-8e57-ee980140479f,USE4625NA9
cs6n0v5   ,      32718, 58.00, 16.76, 40.05,  0.29,SD32B,8dbc9cb0-1a2a-11db-8e57-ee980140479f,USE4625NA9
cs6n0v6   ,      32718, 50.00, 12.90, 35.93,  0.26,SD32B,8dbc9cb0-1a2a-11db-8e57-ee980140479f,USE4625NA9
cs6n1v1   ,       4046, 50.00, 13.04, 35.79,  0.26,SD32B,8dbc9cb0-1a2a-11db-8e57-ee980140479f,USE4625NA9
cs6n1v2   ,      32718, 50.00, 13.10, 35.73,  0.26,SD32B,8dbc9cb0-1a2a-11db-8e57-ee980140479f,USE4625NA9
cs6n1v3   ,      32718,448.34, 83.87,360.35,  0.19,SD32B,8dbc9cb0-1a2a-11db-8e57-ee980140479f,USE4625NA9
cs6n1v4   ,      32718,11200.22,6984.02,4182.36,  0.62,SD32B,8dbc9cb0-1a2a-11db-8e57-ee980140479f,USE4625NA9
cs6n1v5   ,      32718, 58.00, 16.18, 40.62,  0.28,SD32B,8dbc9cb0-1a2a-11db-8e57-ee980140479f,USE4625NA9
cs7v1     ,       8143, 50.00, 13.52, 35.32,  0.27,rx8640,23ba058a-af96-11df-9d9f-769b15580c80,USE5029LNT
cs7v2     ,     241615,111.09, 19.06, 87.57,  0.17,rx8640,23ba058a-af96-11df-9d9f-769b15580c80,USE5029LNT
cs7v3     ,      32718, 50.69, 17.28, 32.45,  0.34,rx8640,23ba058a-af96-11df-9d9f-769b15580c80,USE5029LNT
cs7v4     ,      57295, 50.69, 13.29, 36.19,  0.26,rx8640,23ba058a-af96-11df-9d9f-769b15580c80,USE5029LNT
cs7v5     ,      32719, 50.69, 13.27, 36.22,  0.26,rx8640,23ba058a-af96-11df-9d9f-769b15580c80,USE5029LNT
cs8v1     ,      40911, 57.62, 15.32, 40.59,  0.27,rx8640,19c24779-b4f9-11df-a975-39aaaca90e71,USE5029LRX
cs8v2     ,      81871, 98.62, 21.89, 73.05,  0.22,rx8640,19c24779-b4f9-11df-a975-39aaaca90e71,USE5029LRX
cs8v3     ,      32719, 49.62, 17.34, 30.93,  0.35,rx8640,19c24779-b4f9-11df-a975-39aaaca90e71,USE5029LRX
cs8v4     ,     100303,1332.29,1037.03,291.01,  0.78,rx8640,19c24779-b4f9-11df-a975-39aaaca90e71,USE5029LRX
