Hostname, MemMB, Allocated ,Used    ,Available  ,Utilization,Model, MachineID, MachineSN
cs8v5     ,      32718, 49.62, 18.88, 29.41,  0.38,rx8640,19c24779-b4f9-11df-a975-39aaaca90e71,USE5029LRX
cs9v1     ,       4047, 32.00, 17.03, 14.83,  0.53,rx8640,6784952c-b51c-11df-bafb-ecb569f609d5,USE5030LV4
cs9v2     ,     240591,9294.75,6254.11,3009.35,  0.67,rx8640,6784952c-b51c-11df-bafb-ecb569f609d5,USE5030LV4
cs9v3     ,      90063, 52.61, 20.62, 31.30,  0.39,rx8640,6784952c-b51c-11df-bafb-ecb569f609d5,USE5030LV4
cs9v4     ,      57543,397.25,253.43,142.43,  0.64,rx8640,6784952c-b51c-11df-bafb-ecb569f609d5,USE5030LV4
csc03v1   ,      32828,248.28, 53.50,191.75,  0.22,SD2-8s,13dc7ace-6ec2-11e2-85a1-7bb2f3d0e12a,SGH251J4K4
csc03v2   ,      30780,259.28, 66.47,187.28,  0.26,SD2-8s,13dc7ace-6ec2-11e2-85a1-7bb2f3d0e12a,SGH251J4K4
csc03v3   ,      32828,244.28, 62.92,178.67,  0.26,SD2-8s,13dc7ace-6ec2-11e2-85a1-7bb2f3d0e12a,SGH251J4K4
csc03v4   ,      49210,452.53,110.19,336.26,  0.24,SD2-8s,13dc7ace-6ec2-11e2-85a1-7bb2f3d0e12a,SGH251J4K4
csc03v5   ,      32827, 95.28, 11.84, 81.67,  0.12,SD2-8s,13dc7ace-6ec2-11e2-85a1-7bb2f3d0e12a,SGH251J4K4
csc04v1   ,      32828,583.91,245.85,332.12,  0.42,SD2-8s,f5c76c2c-6d29-11e2-a592-b33509f84996,SGH251J4K3
csc04v2   ,      32828, 54.03, 12.99, 39.61,  0.24,SD2-8s,f5c76c2c-6d29-11e2-a592-b33509f84996,SGH251J4K3
csc04v3   ,      32828,244.28, 64.00,177.40,  0.26,SD2-8s,f5c76c2c-6d29-11e2-a592-b33509f84996,SGH251J4K3
csc04v4   ,      32828, 54.03, 11.39, 41.19,  0.21,SD2-8s,f5c76c2c-6d29-11e2-a592-b33509f84996,SGH251J4K3
csc04v5   ,      32828, 54.03, 11.37, 41.21,  0.21,SD2-8s,f5c76c2c-6d29-11e2-a592-b33509f84996,SGH251J4K3
csc05v10  ,     127867,1555.34,929.55,616.97,  0.60,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc05v1   ,      61307,7857.50,6837.23,1010.32,  0.87,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc05v2   ,     122747,7019.44,5433.55,1570.52,  0.77,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc05v3   ,      81787,4739.84,3525.13,1203.05,  0.74,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc05v4   ,      57211,14528.75,12993.98,1521.58,  0.89,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc05v5   ,      89979,3265.75,2119.46,1135.69,  0.65,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc05v6   ,      77691,1926.78,1095.76,822.93,  0.57,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc05v7   ,      56187,4033.12,2588.08,1430.99,  0.64,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc05v8   ,     140155,10808.78,9310.67,1482.88,  0.86,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc05v9   ,      67451,7192.03,5127.52,2040.67,  0.71,SD2-16s,1dd80cdc-bdd3-11e2-82a6-c0f0292e1906,SGH313R9KD
csc06v10  ,     127867,107.19, 24.83, 80.29,  0.23,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csc06v1   ,      61307,107.19, 26.07, 79.06,  0.24,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csc06v2   ,     122747,139.69, 32.40,103.25,  0.23,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csc06v3   ,      81787,119.19, 23.13, 93.12,  0.19,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csc06v4   ,      57211,107.19, 26.77, 78.42,  0.25,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csc06v5   ,      89979,107.19, 27.05, 78.08,  0.25,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csc06v6   ,      77691,107.19, 26.85, 78.41,  0.25,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csc06v7   ,      56187,103.19, 32.47, 68.96,  0.31,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csc06v8   ,     140155,147.69, 25.33,117.77,  0.17,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
csc06v9   ,      67451,107.19, 31.84, 73.33,  0.30,SD2-16s,96e0de9e-bc53-11e2-8692-20925ad3e0e5,SGH313R826
dt3v5     ,      42958, 55.00, 12.99, 40.52,  0.24,rx8640,604bf029-c34e-11df-81c2-07ad079fdd11,USE5032M5T
dt5v4     ,      40910,513.09,158.80,347.15,  0.31,rx8640,388e07c7-2cc9-11e0-8e0a-d2e078f9ac4e,USE1210C8F
dt5v5     ,      40910,1268.41,1017.27,246.91,  0.80,rx8640,388e07c7-2cc9-11e0-8e0a-d2e078f9ac4e,USE1210C8F
