Date,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,Day.Sum
01/06/2014,278,222,956,254,219,0,0,0,0,0,0,1929
01/07/2014,974,796,3412,864,778,0,0,0,0,0,0,6824
01/08/2014,982,778,3468,926,784,0,0,0,0,0,0,6938
01/09/2014,918,772,3312,878,744,0,0,0,0,0,0,6624
01/10/2014,988,788,3456,900,780,0,0,0,0,0,0,6912
01/11/2014,942,814,3434,884,796,0,0,0,0,0,0,6870
01/12/2014,968,772,3410,900,770,0,0,0,0,0,0,6820
01/13/2014,980,796,3434,860,804,0,0,0,0,0,0,6874
01/14/2014,1006,788,3582,988,800,0,0,0,0,0,0,7164
01/15/2014,982,780,3514,978,774,0,0,0,0,0,0,7028
01/16/2014,980,778,3536,1006,772,0,0,0,0,0,0,7072
01/17/2014,1006,782,3552,980,786,0,0,0,0,0,0,7106
01/18/2014,972,774,3486,972,768,0,0,0,0,0,0,6972
01/19/2014,962,768,3460,962,768,0,0,0,0,0,0,6920
01/20/2014,968,770,3490,984,768,0,0,0,0,0,0,6980
01/21/2014,970,768,3480,972,770,0,0,0,0,0,0,6960
01/22/2014,952,768,3456,966,770,0,0,0,0,0,0,6912
01/23/2014,532,424,1920,540,424,0,0,0,0,0,0,3840
