Hostname, MemMB, Allocated ,Used    ,Available  ,Utilization,Model, MachineID, MachineSN
cs10v1    ,      40911,289.81,154.88,130.66,  0.53,rx8640,096be0eb-d341-11e0-bc05-3dc1a665d4da,3UV11300KY
cs10v2    ,      81871,3501.44,2764.44,727.82,  0.79,rx8640,096be0eb-d341-11e0-bc05-3dc1a665d4da,3UV11300KY
cs10v3    ,      32719, 49.62, 17.24, 31.02,  0.35,rx8640,096be0eb-d341-11e0-bc05-3dc1a665d4da,3UV11300KY
cs10v4    ,     100303, 41.00, 16.96, 23.70,  0.41,rx8640,096be0eb-d341-11e0-bc05-3dc1a665d4da,3UV11300KY
cs10v5    ,      32719, 49.62, 17.07, 31.22,  0.34,rx8640,096be0eb-d341-11e0-bc05-3dc1a665d4da,3UV11300KY
cs1n0v1   ,      32718,558.62,206.74,347.90,  0.37,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
cs1n0v2   ,      32718, 50.00, 12.73, 36.07,  0.25,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
cs1n0v3   ,      42958,618.38,361.12,254.04,  0.58,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
cs1n0v4   ,      32718,1515.41,1343.32,169.73,  0.89,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
cs1n0v6   ,      32718,323.22,231.55, 87.97,  0.72,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
cs1n1v1   ,      32718, 50.00, 12.91, 35.91,  0.26,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
cs1n1v2   ,      32718, 50.00, 13.38, 35.45,  0.27,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
cs1n1v3   ,      32718,697.56,444.46,250.66,  0.64,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
cs1n1v4   ,      32718, 59.00, 20.47, 37.56,  0.35,SD32B,72224685-520d-11dc-9266-05c38263a3bb,USE47301CE
