Date,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,Day.Sum
1/1/2014,0,0,0,0,0,0,0,0,0,0,0,0
1/2/2014,0,0,0,0,0,0,0,0,0,0,0,0
1/3/2014,2,72,4,2,4,12,0,8,40,0,0,144
1/4/2014,2,48,12,4,8,2,0,16,4,4,0,100
1/5/2014,0,0,0,0,0,0,0,0,0,0,0,0
1/6/2014,0,0,0,0,0,0,0,0,0,0,0,0
1/7/2014,2,100,12,4,10,12,0,22,36,2,0,200
1/8/2014,0,0,0,0,0,0,0,0,0,0,0,0
1/9/2014,0,0,0,0,0,0,0,0,0,0,0,0
1/10/2014,0,38,4,0,2,6,0,6,20,0,0,76
1/11/2014,2,36,8,2,6,2,0,12,2,2,0,72
1/12/2014,0,0,0,0,0,0,0,0,0,0,0,0
1/13/2014,0,0,0,0,0,0,0,0,0,0,0,0
1/14/2014,2,108,20,2,14,8,0,32,28,2,0,216
1/15/2014,0,0,0,0,0,0,0,0,0,0,0,0
1/16/2014,0,0,0,0,0,0,0,0,0,0,0,0
1/17/2014,0,10,2,0,2,2,0,2,2,0,0,20
