Date,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,Day.Sum
11/30/2015,0,4,0,0,0,0,0,0,10,116,266,104,226,,,726
12/01/2015,96,1028,230,176,192,170,128,220,112,366,1412,392,542,,,5064
12/02/2015,0,770,0,2,2,6,16,40,102,432,1250,664,922,,,4206
12/03/2015,0,1770,2,14,12,20,52,142,250,586,1202,780,932,,,5762
12/04/2015,26,430,60,42,46,38,44,96,28,256,34,52,146,,,1298
12/05/2015,80,1500,326,56,222,38,38,550,34,116,70,72,112,,,3214
12/06/2015,0,24,0,0,0,0,2,2,4,110,18,30,78,,,268
12/07/2015,0,34,0,0,0,2,6,14,36,228,1030,386,684,,,2420
12/08/2015,40,746,120,56,164,146,114,206,112,330,1378,406,552,,,4370
12/09/2015,36,1484,66,82,118,82,38,78,120,416,1254,644,1112,,,5530
12/10/2015,0,1026,0,0,0,10,38,88,146,340,1146,602,864,,,4260
12/11/2015,28,386,86,44,46,50,26,108,22,202,12,26,88,,,1124
12/12/2015,52,1124,116,162,178,196,140,146,58,208,86,70,100,,,2636
12/13/2015,0,54,0,0,0,0,0,2,10,132,24,34,112,,,368
12/14/2015,0,46,4,4,4,4,14,32,96,260,1028,326,644,,,2462
12/15/2015,124,1174,230,184,178,110,94,258,124,320,1284,360,496,,,4936
12/16/2015,38,568,48,62,62,64,46,88,98,304,1196,448,644,,,3666
12/17/2015,0,26,0,0,6,32,56,88,172,1016,1246,594,906,,,4142
12/18/2015,126,340,118,58,132,56,74,244,104,724,40,78,90,,,2184
12/19/2015,30,918,206,22,164,22,24,356,44,180,76,80,64,,,2186
12/20/2015,2,8,0,0,0,0,4,0,2,108,22,24,74,,,244
12/21/2015,0,24,0,0,2,4,6,18,62,288,1176,428,670,,,2678
12/22/2015,80,830,112,116,178,156,108,182,106,336,1212,324,546,,,4286
12/23/2015,12,242,30,28,22,6,8,28,42,280,1116,448,762,,,3024
12/24/2015,0,42,0,0,0,0,0,0,6,140,30,46,112,,,376
12/25/2015,46,366,36,16,40,50,52,80,18,166,20,36,54,,,980
12/26/2015,150,1004,248,100,90,62,72,192,38,182,40,58,82,,,2318
12/27/2015,0,16,0,0,0,0,2,0,0,112,20,22,88,,,260
12/28/2015,0,106,0,0,0,2,4,4,40,220,874,280,710,,,2240
12/29/2015,114,964,144,128,180,168,122,202,80,298,1114,252,532,,,4298
12/30/2015,0,986,0,0,4,8,22,30,84,398,1242,528,1152,,,4454
12/31/2015,0,1334,0,2,8,10,144,48,124,410,150,416,844,,,3490
01/01/2016,20,324,48,40,56,40,176,76,28,218,32,40,190,,,1288
01/02/2016,46,970,204,30,190,32,124,354,52,276,70,94,174,,,2616
01/03/2016,0,66,0,0,0,0,96,0,12,212,44,72,238,,,740
01/04/2016,2,26,2,4,4,8,106,48,80,438,980,346,724,,,2768
01/05/2016,110,974,194,134,204,160,302,234,104,464,1320,390,586,,,5176
01/06/2016,0,84,0,2,0,2,84,14,48,352,982,382,810,,,2760
01/07/2016,0,94,0,0,0,0,114,38,88,444,1104,510,782,,,3174
01/08/2016,42,344,58,36,42,40,156,76,56,352,188,90,352,,,1832
01/09/2016,132,906,250,80,88,56,180,244,34,274,56,64,180,,,2544
01/10/2016,0,20,0,0,0,0,70,2,10,196,32,50,190,,,570
01/11/2016,2,134,4,4,4,8,92,32,64,448,1090,464,844,,,3190
01/12/2016,62,676,120,84,112,122,206,220,72,380,1290,384,556,,,4284
01/13/2016,22,458,34,56,70,84,124,78,104,458,1208,518,762,,,3976
01/14/2016,0,64,0,0,0,2,108,22,52,326,1000,386,814,,,2774
01/15/2016,34,602,68,94,80,54,136,60,38,400,82,130,298,,,2076
01/16/2016,178,1466,236,176,140,134,90,158,74,358,146,146,130,,,3432
01/17/2016,0,8,0,0,0,0,2,8,24,152,16,28,86,,,324
01/18/2016,14,16,4,4,4,8,22,28,42,338,950,286,736,,,2452
01/19/2016,46,718,138,106,130,94,104,200,98,446,1288,360,566,,,4294
01/20/2016,18,274,36,48,48,34,42,54,124,428,1164,450,596,,,3316
01/21/2016,0,26,0,0,4,10,14,44,94,420,1182,476,650,,,2920
01/22/2016,56,326,54,46,44,46,50,72,28,314,20,38,134,,,1228
01/23/2016,128,1052,222,174,150,132,84,140,50,250,82,40,58,,,2562
01/24/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/25/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/26/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/27/2016,0,0,0,0,0,0,0,0,0,4,0,2,2,,,8
01/28/2016,0,0,0,0,0,0,0,0,0,86,2,12,72,,,172
01/29/2016,0,0,0,0,0,0,0,0,0,38,0,6,32,,,76
01/30/2016,0,0,0,0,0,0,0,0,0,8,0,,8,,,16
01/31/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/01/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/02/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/03/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/04/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/05/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/06/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/07/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/08/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/10/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/11/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/12/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/13/2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/14/2016,0,0,0,0,0,0,0,0,0,4,0,2,2,,,8
